mushroom_id,english_name,local_name,scientific_name,images,edible,poisonous,location_region,location_province,habitat,cap_color,cap_size_cm,gills_present,gills_color,stem_color,stem_length_cm,size_reference,spore_print_color,texture,season_month,cultivated,wild,notes
MUSH011,Death Cap,Kabuting Nakamamatay,Amanita_phalloides,"01.jpg,02.jpg,03.jpg,04.jpg,05.jpg,06.jpg,07.jpg,08.jpg,09.jpg,10.jpg",FALSE,TRUE,Region 4A,Cavite,forest,greenish_white,10,TRUE,white,white,12,coin_10peso,white,smooth,June-November,FALSE,TRUE,⚠️ EXTREMELY DEADLY - Contains amatoxins - Can be confused with edible mushrooms - Causes liver failure - DO NOT EAT
MUSH012,Green Spored Parasol,Kabuting Luntian,Chlorophyllum_molybdites,"01.jpg,02.jpg,03.jpg,04.jpg,05.jpg,06.jpg,07.jpg,08.jpg,09.jpg,10.jpg",FALSE,TRUE,Region 3,Pampanga,soil,white_brown_scales,15,TRUE,white_turns_green,white,10,ruler_15cm,green,scaly,May-October,FALSE,TRUE,⚠️ POISONOUS - Green spore print is key identifier - Causes severe gastrointestinal distress - Often found on lawns after rain
MUSH013,False Morel,Kabuting Utak,Gyromitra_esculenta,"01.jpg,02.jpg,03.jpg,04.jpg,05.jpg,06.jpg,07.jpg,08.jpg,09.jpg,10.jpg",FALSE,TRUE,CAR,Benguet,forest,reddish_brown,8,FALSE,none,white,5,coin_10peso,white,wrinkled,March-May,FALSE,TRUE,⚠️ DEADLY - Brain-like wrinkled cap - Contains gyromitrin - Can be fatal even when cooked - Found in pine forests
MUSH014,Jack O Lantern Mushroom,Kabuting Nagniningning,Omphalotus_olearius,"01.jpg,02.jpg,03.jpg,04.jpg,05.jpg,06.jpg,07.jpg,08.jpg,09.jpg,10.jpg",FALSE,TRUE,Region 4B,Quezon,wood,orange,12,TRUE,orange,orange,8,hand,cream,smooth,June-November,FALSE,TRUE,⚠️ POISONOUS - Bright orange color - Gills glow in the dark - Causes severe cramps and vomiting - Often confused with chanterelles
MUSH015,Funeral Bell,Kabuting Libing,Galerina_marginata,"01.jpg,02.jpg,03.jpg,04.jpg,05.jpg,06.jpg,07.jpg,08.jpg,09.jpg,10.jpg",FALSE,TRUE,Region 2,Isabela,wood,brown,4,TRUE,brown,brown,6,coin_5peso,rusty_brown,smooth,All_year,FALSE,TRUE,⚠️ EXTREMELY DEADLY - Small brown mushroom - Contains same toxins as Death Cap - Often mistaken for edible mushrooms - Grows on decaying wood
MUSH016,Fly Agaric,Kabuting Pulang May Tuldok,Amanita_phalloides,"01.jpg,02.jpg,03.jpg,04.jpg,05.jpg,06.jpg,07.jpg,08.jpg,09.jpg,10.jpg",FALSE,TRUE,CAR,Benguet,forest,red_white_spots,12,TRUE,white,white,15,hand,white,smooth,June-October,FALSE,TRUE,⚠️ POISONOUS - Iconic red cap with white spots - Contains ibotenic acid and muscimol - Causes hallucinations and poisoning - Very recognizable appearance
MUSH017,Destroying Angel,Kabuting Anghel ng Kamatayan,Amanita_phalloides,"01.jpg,02.jpg,03.jpg,04.jpg,05.jpg,06.jpg,07.jpg,08.jpg,09.jpg,10.jpg",FALSE,TRUE,Region 4A,Rizal,forest,pure_white,10,TRUE,white,white,12,coin_10peso,white,smooth,June-November,FALSE,TRUE,⚠️ EXTREMELY DEADLY - Pure white appearance - Contains deadly amatoxins - Often confused with edible white mushrooms - Fatal if consumed
MUSH018,Red Roundhead,Kabuting Pulang Bilog,Stropharia_rugosoannulata,"01.jpg,02.jpg,03.jpg,04.jpg,05.jpg,06.jpg,07.jpg,08.jpg,09.jpg,10.jpg",FALSE,TRUE,Region 1,La Union,soil,red_brown,8,TRUE,purple_brown,white,10,coin_10peso,purple_brown,smooth,July-October,FALSE,TRUE,⚠️ POISONOUS - Wine-red to brown cap - Causes gastrointestinal upset - Found in woodchips and mulch - Ring present on stem
MUSH019,Poison Pie,Kabuting Lason,Hebeloma_crustuliniforme,"01.jpg,02.jpg,03.jpg,04.jpg,05.jpg,06.jpg,07.jpg,08.jpg,09.jpg,10.jpg",FALSE,TRUE,Region 3,Tarlac,soil,tan_brown,6,TRUE,clay_brown,white,5,coin_5peso,brown,smooth,September-November,FALSE,TRUE,⚠️ POISONOUS - Tan to brown cap - Smells like radishes - Causes severe vomiting - Common in forests and parks
MUSH020,Red Cage Fungus,Kabuting Kulungan,Clathrus_ruber,"01.jpg,02.jpg,03.jpg,04.jpg,05.jpg,06.jpg,07.jpg,08.jpg,09.jpg,10.jpg",FALSE,TRUE,Region 6,Iloilo,soil,red,8,FALSE,none,red,5,coin_10peso,none,latticed,May-October,FALSE,TRUE,⚠️ NOT EDIBLE - Bright red lattice structure - Foul odor attracts flies - Not technically poisonous but inedible - Very distinctive appearance
